game_id,score dif max_min,team1_score max_min,team2_score max_min,team1_seed max_min,team2_seed max_min,team1_lat max_min,team2_lat max_min,team1_long max_min,team2_long max_min,team1_fg2pct max_min,team2_fg2pct max_min,team1_fg3pct max_min,team2_fg3pct max_min,team1_ftpct max_min,team2_ftpct max_min,team1_blockpct max_min,team2_blockpct max_min,team1_oppfg2pct max_min,team2_oppfg2pct max_min,team1_oppfg3pct max_min,team2_oppfg3pct max_min,team1_oppftpct max_min,team2_oppftpct max_min,team1_oppblockpct max_min,team2_oppblockpct max_min,team1_f3grate max_min,team2_f3grate max_min,team1_oppf3grate max_min,team2_oppf3grate max_min,team1_arate max_min,team2_arate max_min,team1_opparate max_min,team2_opparate max_min,team1_stlrate max_min,team2_stlrate max_min,team1_oppstlrate max_min,team2_oppstlrate max_min,team1_rpi_rating max_min,team2_rpi_rating max_min,team1_pt_school_ncaa max_min,team2_pt_school_ncaa max_min,team1_pt_overall_ncaa max_min,team2_pt_overall_ncaa max_min,team1_pt_school_s16 max_min,team2_pt_school_s16 max_min,team1_pt_overall_s16 max_min,team2_pt_overall_s16 max_min,team1_pt_school_ff max_min,team2_pt_school_ff max_min,team1_pt_overall_ff max_min,team2_pt_overall_ff max_min,team1_pt_career_school_wins max_min,team2_pt_career_school_wins max_min,team1_pt_career_school_losses max_min,team2_pt_career_school_losses max_min,team1_pt_career_overall_losses max_min,team2_pt_career_overall_losses max_min,team1_pt_team_season_wins max_min,team2_pt_team_season_wins max_min,team1_pt_team_season_losses max_min,team2_pt_team_season_losses max_min,team1_pt_coach_season_wins max_min,team2_pt_coach_season_wins max_min,team1_pt_coach_season_losses max_min,team2_pt_coach_season_losses max_min
2005-1324-1105,0.446601942,0.421052632,0.543478261,1,1,0.511486874,0.77238684,0.821618557,0.766818259,0.158569456,0.519020252,0.098366712,0.467690566,0.043651983,0.312319654,0.318919245,0.288871544,0.547610626,0.844143507,0.252999788,0.867490924,0.27848869,0.602607797,0.577507019,0.329640746,0.460118037,0.414097005,0.252208559,0.624341652,0.529628641,0.606169346,0.597608729,0.868826413,0.903013183,0.40469738,0.531506849,0.403462051,0.780821918,0.32103321,0,0,0,0,0,0,0,0,0,0,0,0,0.084592145,0.074775673,0.3,0.283911672,0.226415094,0.206018519,0.2,0,0.65,0.9,0.483870968,0.12,0.65,0.9
2005-1112-1429,0.669902913,0.381578947,0.260869565,0.133333333,0.866666667,0.414757053,0.729931349,0.540447247,0.217125492,0.520938794,0.912660928,0.782311977,0.76159463,0.80407431,0.436371166,0.363874314,0.351244574,0.574403446,0.31987735,0.564399347,0.394333516,0.405483971,0.718678675,0.134486244,0.423818907,0.265989222,0.305021505,0.494052542,0.485935302,0.531443258,0.816236241,0.697980765,0.262455953,0.552730697,0.278229449,0.510958904,0.55792277,0.784246575,0.20295203,0.666666667,0.1,0.833333333,0.133333333,0.476190476,0,0.571428571,0,0.363636364,0,0.454545455,0,0.719033233,0.374875374,0.5125,0.160883281,0.610849057,0.435185185,0.65,0.545454545,0.3,0.35,0.774193548,0.6,0.3,0.35
2005-1130-1335,0.349514563,0.368421053,0.608695652,0.8,0.2,0.707412441,0.757129596,0.95279139,0.998410111,0.381679526,0.444033428,0.360173715,0.47842321,0.256918551,0.527537316,0.321005971,0.425828112,0.336274522,0.330611879,0.465199534,0.710100007,0.13069367,0.567500463,0.573913532,0.406291527,0.506660286,0.083772738,0.532446303,0.323155131,0.673207989,0.948784557,0.519764378,0.566096074,0.603578154,0.451671183,0.702739726,0.64713715,0.606164384,0.800738007,0.233333333,0.1,0.233333333,0.166666667,0,0,0,0,0,0,0,0,0.272910373,0.274177468,0.475,0.305993691,0.358490566,0.513888889,0.3,0.545454545,0.4,0.2,0.548387097,0.6,0.4,0.2
2005-1153-1234,0.660194175,0.513157895,0.380434783,0.4,0.6,0.67632893,0.726283911,0.845307425,0.606941216,0.369176613,0.488739428,0.412804194,0.67710007,0.401332184,0.435645328,0.779753935,0.634679127,0.008381441,0.393662723,0.538050998,0.644145147,0.386873678,0.313328912,0.130746771,0.459664116,0.426580469,0.342498402,0.486114868,0.342378131,0.603855001,0.656810386,0.341979336,0.616912077,0.22693032,0.445347787,0.350684932,0.552596538,0.681506849,0.623616236,0.433333333,0.033333333,0.466666667,0.066666667,0.19047619,0,0.19047619,0.047619048,0.090909091,0,0.090909091,0,0.478348439,0.178464606,0.39375,0.252365931,0.405660377,0.293981481,0.5,0.409090909,0.35,0.55,0.677419355,0.48,0.35,0.55
2005-1211-1457,0.446601942,0.355263158,0.489130435,0.866666667,0.133333333,0.517368925,1,0.885502846,0.109683113,0.354510193,0.719236078,0.503231023,0.696020859,0.386370876,0.648257989,0.486261384,0.417814298,0.369269735,0.415469543,0.431603376,0.686904925,0.308660148,0.382032262,0.208590679,0,0.533357729,0.146297866,0.695585973,0.636363976,0.680745632,0.566577494,0.602434405,0.790067542,0.629943503,0.187895212,0.55890411,0.372836218,0.630136986,0.79704797,0.133333333,0.166666667,0.133333333,0.166666667,0,0.095238095,0,0.095238095,0,0,0,0,0.123867069,0.148554337,0.2125,0.107255521,0.160377358,0.076388889,0.65,0.590909091,0.25,0.2,0.774193548,0.64,0.25,0.2
2005-1228-1192,0.660194175,0.394736842,0.282608696,0,1,0.69906473,0.691449661,0.779207451,0.943459414,0.727481906,0.495103772,0.717196573,0.519375368,0.578891158,0.32370596,0.281888909,0.487939183,0.336716648,0.596763809,0.645135549,0.779351325,0.186946166,0.203588613,0.29682201,0.205356734,0.606957098,0.374821032,0.39616101,0.21418739,0.83013904,0.535107959,0.586919453,0.494744025,0.594161959,0.378500452,0.234246575,0.406125166,0.839041096,0.557195572,0.033333333,0.1,0.1,0.1,0.047619048,0,0.095238095,0,0,0,0,0,0.143001007,0.347956132,0.021875,0.873817035,0.143867925,0.638888889,0.9,0.363636364,0.05,0.6,0.935483871,0.44,0.05,0.6
2005-1246-1184,0.466019417,0.355263158,0.467391304,0.933333333,0.066666667,0.623599571,0.560771912,0.847762821,0.741985442,0.603271556,0.627736091,0.454127833,0.488195235,0.268540031,0.307737523,0.318026657,0.58115925,0.473194548,0.381297432,0.680151984,0.47715597,0.511598148,0.500809635,0.251544076,0.480158548,0.366210971,0.407774207,0.179351229,0.531510908,0.502633927,0.55744836,0.519798076,0.372793529,0.439736347,0.685636856,0.816438356,0.222370173,0.352739726,0.822878229,0,0.233333333,0,0.366666667,0,0.238095238,0,0.380952381,0,0.090909091,0,0.090909091,0.042296073,0.33000997,0.24375,0.173501577,0.183962264,0.268518519,0.4,0.590909091,0.4,0.25,0.612903226,0.64,0.4,0.25
2005-1305-1400,0.504854369,0.263157895,0.347826087,0.466666667,0.533333333,0.340925608,0.63022973,0.692822531,0.063120287,0.430705052,0.499339975,0.6719971,0.069576355,0.428842443,0.488595882,0.436198058,0.569718581,0.33655243,0.265344465,0.33848001,0.331358312,0.494940604,0.573584295,0.382571589,0.332470329,0.486684119,0,0.611857817,0.268093336,0.317506509,0.679118517,0.504835785,0.471178664,0.308851224,0.363143631,0.589041096,0.708388815,0.452054795,0.693726937,0.2,0,0.4,0,0.142857143,0,0.19047619,0,0.090909091,0,0.090909091,0,0.346424975,0.014955135,0.209375,0.012618297,0.474056604,0.006944444,0.3,0.545454545,0.5,0.3,0.548387097,0.6,0.5,0.3
2005-1328-1310,0.378640777,0.394736842,0.597826087,0.866666667,0.133333333,0.828265182,0.432288102,0.90853891,0.49333117,0.386060327,0.617898462,0.482415844,0.649562289,0.727319143,0.430787111,0.221759846,0.452104228,0.769172467,0.513515796,0.628516835,0.157305295,0.845740196,0.581811733,0.641830432,0.237352793,0.622013505,0.33466866,0.302203535,0.072343418,0.532990842,0.550500666,0.678580335,0.445269622,0.372881356,0.661246612,0.34109589,0.58322237,0.633561644,0.745387454,0,0.3,0,0.333333333,0,0.142857143,0,0.142857143,0,0.090909091,0,0.090909091,0.10775428,0.350947159,0.253125,0.305993691,0.191037736,0.460648148,0.3,0.545454545,0.45,0.35,0.548387097,0.6,0.45,0.35
2005-1334-1338,0.621359223,0.552631579,0.456521739,0.466666667,0.533333333,0.918608166,0.670870775,0.400243588,0.829567265,0.796427227,0.558119808,0.646671732,0.691074808,0.6498754,0.290985359,0.263512454,0.541587366,0.445984867,0.330432442,0.476393373,0.560629153,0.380616004,0.618245327,0.24603032,0.490652064,0.421688857,0.313802848,0.581880927,0.490783134,0.575585806,0.654009365,0.456349875,0.729537296,0.211864407,0.368563686,0.742465753,0.310252996,0.684931507,0.516605166,0.066666667,0.033333333,0.066666667,0.033333333,0,0.047619048,0,0.047619048,0,0,0,0,0.267875126,0.041874377,0.659375,0.034700315,0.497641509,0.023148148,0.6,0.363636364,0.15,0.4,0.741935484,0.44,0.15,0.4
